0.066408 0.439436 0.453139 0.453139 
0.840602 0.722861 0.304666 0.840602 
0.716178 0.786096 0.689505 0.786096 
0.091800 0.171545 0.765404 0.765404 
0.273476 0.824671 0.106296 0.824671 
0.681478 0.472701 0.565600 0.681478 
0.182531 0.628742 0.264321 0.628742 
0.546922 0.220405 0.704489 0.704489 
0.030213 0.844050 0.007385 0.844050 
0.080630 0.643422 0.276925 0.643422 
0.170904 0.813685 0.087680 0.813685 
0.755242 0.730277 0.098483 0.755242 
0.351543 0.702902 0.790490 0.790490 
0.748344 0.354320 0.330485 0.748344 
0.336741 0.624348 0.559282 0.624348 
0.567644 0.398633 0.104862 0.567644 
0.533586 0.762810 0.620808 0.762810 
0.675954 0.881100 0.149388 0.881100 
0.616840 0.500412 0.610004 0.616840 
0.116153 0.079257 0.412366 0.412366 
0.153752 0.541551 0.194922 0.541551 
0.136235 0.655599 0.687979 0.687979 
0.229194 0.037873 0.701987 0.701987 
0.814203 0.782189 0.240944 0.814203 
0.070650 0.713279 0.740654 0.740654 
0.683157 0.265938 0.431837 0.683157 
0.673147 0.988922 0.828669 0.988922 
0.356273 0.673605 0.341807 0.673605 
0.424238 0.108219 0.016938 0.424238 
0.151830 0.456557 0.397809 0.456557 
0.729118 0.261940 0.514664 0.729118 
0.718223 0.076052 0.997467 0.997467 
0.635578 0.713034 0.314127 0.713034 
0.658834 0.128086 0.134007 0.658834 
0.458937 0.921720 0.815943 0.921720 
0.157140 0.468337 0.021546 0.468337 
0.407117 0.670492 0.453780 0.670492 
0.601794 0.337382 0.719810 0.719810 
0.205573 0.189093 0.319590 0.319590 
0.211371 0.485427 0.759148 0.759148 
0.722465 0.279641 0.788598 0.788598 
0.659688 0.297555 0.765740 0.765740 
0.593371 0.441389 0.144078 0.593371 
0.700491 0.918607 0.086367 0.918607 
0.846553 0.995911 0.202673 0.995911 
0.792718 0.378063 0.413678 0.792718 
0.527787 0.211951 0.939085 0.939085 
0.725303 0.715354 0.410779 0.725303 
0.325480 0.430738 0.111240 0.430738 
0.242317 0.104465 0.336711 0.336711 
0.195593 0.190527 0.885433 0.885433 
0.667898 0.979430 0.671072 0.979430 
0.986694 0.352031 0.460921 0.986694 
0.531236 0.158727 0.739219 0.739219 
0.064821 0.223060 0.695334 0.695334 
0.191595 0.970855 0.337168 0.970855 
0.938749 0.683859 0.729423 0.938749 
0.463393 0.378918 0.356731 0.463393 
0.884732 0.311747 0.612171 0.884732 
0.241005 0.105869 0.410352 0.410352 
0.571612 0.506485 0.925779 0.925779 
0.123997 0.759453 0.456160 0.759453 
